title,url,img_url,host,period,tags
프론트엔드 기반 프로덕트 디자이너 과정,https://k-digital.goorm.io/b2g/kdt/product-design,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-20-01-00-5349-84606600.png&w=640&q=75,구름,2024.06.14 (금) ~ 2024.07.08 (월),"실시간 비대면, 무료, 교육, UI/UX"
백엔드 개발자 과정,https://k-digital.goorm.io/b2g/kdt/backend,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-20-01-03-0519-68d702a1.png&w=640&q=75,구름,2024.06.14 (금) ~ 2024.07.08 (월),"실시간 비대면, 무료, 교육"
AWSKRUG 플랫폼엔지니어링 모임,https://www.meetup.com/awskrug/events/301414888,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-06-03-23-49-0367-aab93b91.png&w=640&q=75,AWSKRUG,2024.06.03 (월) ~ 2024.07.10 (수),"온라인, 유료, 인프라"
제로베이스에서 유능한 QA로 성장하는 소프트웨어 테스트의 모든 것...,https://event-us.kr/FKH3nHkjmPGh/event/86185,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-23-00-47-5345-0333d4be.png&w=640&q=75,한빛미디어,2024.06.20 (목) ~ 2024.07.11 (목),"오프라인, 무료, 기술일반"
프론트엔드 개발자를 위한 풀스택 과정,https://camp.orm.im/js-full-stack,https://dev-event.vercel.app/_next/image?url=%2Fdefault%2Fevent-thumbnail-light.png&w=640&q=75,모두의 연구소,2024.06.14 (금) ~ 2024.07.12 (금),"온라인, 무료, 프론트엔드	, 백엔드"
Google I/O Extended Watch Party Busan 2024...,https://festa.io/events/5467,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-24-22-36-5790-8878cf17.png&w=640&q=75,GDG Busan,2024.06.24 (월) ~ 2024.07.12 (금),"오프라인, 유료, 기술일반"
with CTO: 2nd meet,https://festa.io/events/5373,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-25-23-28-2442-0e962506.png&w=640&q=75,프루퍼,2024.06.25 (화) ~ 2024.07.12 (금),"오프라인, 무료, 기술일반, 모임"
새싹 해커톤,https://dacon.io/competitions/official/236293/overview/description,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-27-20-31-0428-821a9f3b.png&w=640&q=75,서울경제진흥원,2024.06.27 (목) ~ 2024.07.12 (금),"온라인, 무료, 대회"
Autify : AI-Powered Test Automation Platform...,https://thefutureinside.lgcns.com/CNSEvent/Detail/192?ibch=et04,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-27-20-32-3280-f78df60a.png&w=640&q=75,LG CNS,2024.06.27 (목) ~ 2024.07.16 (화),"온라인, 무료, AI	"
알고리즘 코드 챌린지,https://okky.kr/articles/1503884?topic=it&page=1,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEV_EVENT%2F2024-06-15-13-39-2487-40157cdb.png&w=640&q=75,엘리스,2024.06.10 (월) ~ 2024.07.19 (금),"온라인, 무료, 대회"
