title,host,hashtag,start_date,end_date,image,link
실용주의 기술 블로그 글쓰기,DEVOCEAN,"['온라인', '무료', '기술일반']",2024.05.03,2024.05.15,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-04-04-04-3904-65c48f4a.png&w=640&q=75,https://devocean.sk.com/events/view.do?id=197
[AI 활용 서비스 개발 해커톤] k-hack,고려대학교 사회공헌원 체인지메이커스 프로그램,"['오프라인', '무료', '대회']",2024.05.09,2024.05.16,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-11-05-24-5893-efe058d9.png&w=640&q=75,https://interculturalai.notion.site/k-hack-2024-0f528c69a9b4437da916f2cce3d14f1f
AI학교 아이펠 '데이터 사이언티스트 과정' 입학생 모집,아이펠,"['온라인', '무료', '데이터']",2024.04.16,2024.05.17,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-16-22-40-5432-b2cb9a33.png&w=640&q=75,https://ds.aiffel.io/?utm_source=festa&utm_medium=board_all&utm_campaign=kdt_23_10&utm_content=github_dev_event
제19회 차세대 테크 리더십포럼,리더십 포럼,"['오프라인', '무료', '기술일반']",2024.04.23,2024.05.17,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-22-17-3437-8438c02c.webp&w=640&q=75,https://festa.io/events/5077
백엔드 개발자 취업 미니 부트캠프 : 스프링 입문 데브코스,유데미 x 웅진씽크빅,"['온라인', '백엔드', '유료']",2024.04.23,2024.05.17,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-22-16-2994-c0d3017f.webp&w=640&q=75,https://onoffmix.com/event/298611
테크 리드로 자라기: 동기 부여와 피드백,한빛앤 MSA,"['오프라인', '무료', '기술일반']",2024.05.13,2024.05.17,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-13-23-26-5357-a7421628.png&w=640&q=75,https://tech.goorm.io/ko/2405_commit/?utm_source=marketingdb&utm_medium=github_dev_event&utm_campaign=commit
부스트캠프 웹・모바일 9기 5월 설명회,네이버커넥트,"['온라인', '무료', '안드로이드', 'iOS', '웹']",2024.05.02,2024.05.19,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-02-23-59-1345-4154a374.png&w=640&q=75,https://form.naver.com/response/nkAg46cqWwJ5ewKnq1LRpA
노이즈 측정 솔루션 이해 세미나,크래카,"['온라인', '무료', '기술일반']",2024.05.07,2024.05.19,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-08-04-13-1803-ec075873.jpg&w=640&q=75,http://docs.google.com/forms/d/e/1FAIpQLScvyKSQeeVHI59LRt627mECoVmukwQu4HiImph6NPjT4jqvQQ/viewform?usp=send_form
2024 항해커톤,항해99,"['온라인', '무료', 'AI\t', '대회']",2024.04.22,2024.05.19,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-21-53-4239-90a86455.webp&w=640&q=75,https://hanghae99.spartacodingclub.kr/hhackathon-ai
2024 배리어프리 앱 개발 콘테스트,"현대오토에버, 서울사회복지공동모금회","['온라인', '무료', '안드로이드', '대회', 'iOS']",2024.04.15,2024.05.19,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-16-22-37-0496-cc9e272d.png&w=640&q=75,https://www.autoeverapp.kr/
네이버 클라우드 & 디딤365 & 씽킹데이터와 함께하는 Gaming day!,네이버클라우드,"['오프라인', '무료', '기술일반']",2024.05.10,2024.05.20,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-13-21-44-2506-bc8859fd.png&w=640&q=75,https://form.naver.com/response/-S2mEos2mFcyAU4j3kSk4w
"Gen AI 춘추전국시대, LLM 시장 전망과 기업의 도입 전략 세미나",한국정보산업연합회,"['오프라인', '무료', 'AI\t']",2024.05.13,2024.05.20,https://dev-event.vercel.app/_next/image?url=%2Fdefault%2Fevent_img.png&w=640&q=75,https://docs.google.com/forms/d/e/1FAIpQLScBHRlnrUero6GND9AvEaN431nf_u-konyitJagAps1v1nv2Q/viewform
Microsoft Build,Microsoft,"['온라인', '무료', '기술일반']",2024.03.15,2024.05.20,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-03-26-08-09-2258-0dc44a55.png&w=640&q=75,https://build.microsoft.com
리눅스 기술면접 준비하는 방법,리얼리눅스,"['온라인', '무료', '기술일반', '커리어']",2024.04.29,2024.05.21,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-29-22-52-3335-bcc9a73c.png&w=640&q=75,https://festa.io/events/5175
