제목,카테고리,주최,대상,접수 시작일,접수 마감일,심사 시작일,심사 종료일,발표일,D-Day,상태,링크,이미지 링크
제3회 ETRI 휴먼이해 인공지능 논문경진대회,"['IT', '소프트웨어', '게임']",ETRI,"['대학생', '대학원생', '일반인']",04.18,06.07,06.28,09.10,10.16,D-37,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404160052,https://www.contestkorea.com/admincenter/files/meet/202404161500592657292.jpg
아이누리 자연스럽게 먹자! 공모전  (교육프로그램 개발),"['아이디어', '제안']","CJ프레시웨이,한국어린이집총연합회",['기타'],04.15,07.01,07.02,08.05,08.06,D-61,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404150070,https://www.contestkorea.com/admincenter/files/meet/202404151536124705152.jpg
2024년도 환경데이터 활용 및 분석 공모전,"['아이디어', '제안']",환경부,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.22,06.03,06.05,07.18,07.18,D-33,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404150083,https://www.contestkorea.com/admincenter/files/meet/202404151759333264831.jpg
2024 배리어프리 앱 개발 콘테스트,"['IT', '소프트웨어', '게임']","현대오토에버, 서울사회복지공동모금회","['대학생', '대학원생']",04.15,05.19,05.20,06.09,06.17,D-18,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404150028,https://www.contestkorea.com/admincenter/files/meet/202404151130323894669.jpg
2024 지식재산 데이터 활용 창업 경진대회,"['IT', '소프트웨어', '게임']",특허청,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.12,05.14,05.16,05.30,05.31,D-13,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404120028,https://www.contestkorea.com/admincenter/files/meet/202404121129471470383.jpg
2024 춘계통합학회 대학생 ERP 아이디어 공모전,"['IT', '소프트웨어', '게임']",한국경영정보학회. 영림원소프트랩,['대학생'],04.02,05.07,05.08,05.14,05.31,D-6,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404110013,https://www.contestkorea.com/admincenter/files/meet/202404111148186513358.jpg
2024년 제12회 SW개발 공모전 : 피우다 프로젝트(노숙인 생활개선 및 복지향상),"['IT', '소프트웨어', '게임']","과학기술정보통신부, 정보통신산업진흥원","['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.05,05.01,05.02,05.03,05.03,D-0,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404080065,https://www.contestkorea.com/admincenter/files/meet/202404081352114141624.jpg
2024년 장애인 분야 해커톤 대회 <장애 플러스 기술>,"['IT', '소프트웨어', '게임']",한국장애인재단,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.08,05.08,05.09,06.03,06.07,D-7,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404080001,https://www.contestkorea.com/admincenter/files/meet/202404080921016842922.jpg
"농식품 공공데이터, 창업경진대회 작품 공모","['아이디어', '제안']"," 농림축산식품부, 농촌진흥청","['대학생', '대학원생', '일반인', '외국인']",03.25,07.01,07.01,07.20,07.26,D-61,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403280067,https://www.contestkorea.com/admincenter/files/meet/202403281441082362781.jpg
제9회 농림축산식품부 공공데이터 활용 창업경진대회,"['아이디어', '제안']","농림축산식품부, 농촌진흥청","['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",03.25,07.01,07.02,07.25,07.26,D-61,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403220017,https://www.contestkorea.com/admincenter/files/meet/202404181617074017736.jpg
2024년 광진구 빅데이터 분석 공모전,"['IT', '소프트웨어', '게임']",서울특별시 광진구,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.01,05.03,05.13,06.14,06.21,D-2,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202402220044,https://www.contestkorea.com/admincenter/files/meet/202402221527345433746.jpg
