제목,카테고리,주최,대상,접수 시작일,접수 마감일,심사 시작일,심사 종료일,발표일,D-Day,상태,링크,이미지 링크
2024 자율성장 인공지능 경진대회 'Fashion-How season5',"['IT', '소프트웨어', '게임']",한국전자통신연구원(ETRI),"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",06.26,07.26,07.29,09.11,10.17,D-26,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406260029,https://www.contestkorea.com/admincenter/files/meet/202406261144543592793.png
JUNCTION ASIA 2024,"['IT', '소프트웨어', '게임']",경상북도,"['고등학생', '대학생', '대학원생', '일반인', '외국인']",06.24,07.07,07.07,07.15,07.15,D-7,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406260096,https://www.contestkorea.com/admincenter/files/meet/202406262142004553689.png
2024년 경운대학교 총장배 데이터톤 경진대회,"['IT', '소프트웨어', '게임']","경운대학교, 경운대학교소프트웨어중심대학사업단",['고등학생'],06.17,07.12,06.17,07.12,07.15,D-12,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406240077,https://www.contestkorea.com/admincenter/files/meet/202406251138479256357.jpg
제2회 전북청년 빅데이터 경진대회,"['IT', '소프트웨어', '게임']",전북대학교 빅데이터혁신융합대학사업단,"['중학생', '고등학생', '대학생', '대학원생', '기타']",06.17,08.30,09.02,10.31,10.31,D-61,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406170037,https://www.contestkorea.com/admincenter/files/meet/202406211430381803469.jpg
2024 블록체인 경진대회 「BEST Challenge」,"['IT', '소프트웨어', '게임']",과학기술정보통신부,"['대학생', '대학원생', '일반인']",06.14,07.23,07.25,07.26,07.31,D-23,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406180091,https://www.contestkorea.com/admincenter/files/meet/202406181542391448960.jpg
2024 청소년 하계 IT학술대회,"['IT', '소프트웨어', '게임']",한국정보기술진흥원,"['초등학생', '중학생', '고등학생']",06.17,08.04,06.17,08.11,08.12,D-35,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406170048,https://www.contestkorea.com/admincenter/files/meet/202406171231454463023.png
아이누리 자연스럽게 먹자! 공모전  (교육프로그램 개발),"['아이디어', '제안']","CJ프레시웨이,한국어린이집총연합회",['기타'],04.15,07.01,07.02,08.05,08.06,D-1,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404150070,https://www.contestkorea.com/admincenter/files/meet/202404151536124705152.jpg
제8회 개방형 클라우드 플랫폼(K-PaaS) 기반 서비스 개발 아이디어 공모전,"['아이디어', '제안']",과학기술정보통신부,"['고등학생', '대학생', '일반인']",03.25,10.31,11.05,11.06,11.20,D-123,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403260057,https://www.contestkorea.com/admincenter/files/meet/202404011524051101946.jpg
"농식품 공공데이터, 창업경진대회 작품 공모","['아이디어', '제안']"," 농림축산식품부, 농촌진흥청","['대학생', '대학원생', '일반인', '외국인']",03.25,07.01,07.01,07.20,07.26,D-1,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403280067,https://www.contestkorea.com/admincenter/files/meet/202403281441082362781.jpg
제9회 농림축산식품부 공공데이터 활용 창업경진대회,"['아이디어', '제안']","농림축산식품부, 농촌진흥청","['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",03.25,07.01,07.02,07.25,07.26,D-1,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403220017,https://www.contestkorea.com/admincenter/files/meet/202404181617074017736.jpg
제4회 미래와소프트웨어 아이디어 공모전,"['IT', '소프트웨어', '게임']",미래와소프트웨어,"['대학생', '대학원생']",06.10,08.11,08.12,08.29,08.30,D-42,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406100070,https://www.contestkorea.com/admincenter/files/meet/202406141613549334939.jpg
제 4회 KOPIS 빅데이터 공모전,"['IT', '소프트웨어', '게임']",문화체육관광부,"['대학생', '대학원생', '일반인']",06.10,07.11,07.12,11.29,11.29,D-11,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406090009,https://www.contestkorea.com/admincenter/files/meet/202406141421511650494.jpg
"헥사월드 만들기 툴 오브제 기능을 활용하여 나만의 방, 나만의 공간 꾸미기 릴레이 챌린지","['IT', '소프트웨어', '게임']",데이터킹,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",06.11,07.31,08.01,08.04,08.05,D-31,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406110076,https://www.contestkorea.com/admincenter/files/meet/202406111546554262673.png
제10회 대학생 프로그래밍 경진대회,"['IT', '소프트웨어', '게임']",삼성전자,"['대학생', '대학원생']",06.04,07.04,07.05,08.31,08.31,D-4,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406040013,https://www.contestkorea.com/admincenter/files/meet/202406111459153811435.jpg
2024 경남글로벌게임센터 게임 아이디어랩,"['아이디어', '제안']",경남글로벌게임센터,"['대학생', '대학원생', '일반인']",06.10,07.05,06.10,11.30,07.12,D-5,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406100115,https://www.contestkorea.com/admincenter/files/meet/202406102021508014266.jpg
