제목,카테고리,주최,대상,접수 시작일,접수 마감일,심사 시작일,심사 종료일,발표일,D-Day,상태,링크,이미지 링크
2024 혁신성장 데이터 챌린지 DX BOOT CAMP,"['IT', '소프트웨어', '게임']",부산광역시,"['대학생', '대학원생', '일반인']",05.14,06.07,06.11,06.14,06.18,D-20,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405140082,https://www.contestkorea.com/admincenter/files/meet/202405141939311207460.jpg
K-디지털 챌린지 : 2024년 메타버스 개발자 경진대회,"['IT', '소프트웨어', '게임']",과학기술정보통신부,"['초등학생', '중학생', '고등학생', '대학생', '일반인']",05.07,06.07,06.10,09.13,09.13,D-20,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405060015,https://www.contestkorea.com/admincenter/files/meet/202405131455461653361.jpg
﻿제22회 임베디드 소프트웨어 경진대회,"['IT', '소프트웨어', '게임']",산업통상자원부,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",05.02,06.07,06.10,11.29,11.29,D-20,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405030095,https://www.contestkorea.com/admincenter/files/meet/202405131414158374092.jpg
코드게이트 AI 아이디어랩,"['IT', '소프트웨어', '게임']","사단법인코드게이트보안포럼, 금융보안원","['중학생', '고등학생', '대학생', '대학원생', '일반인']",04.29,06.07,06.07,08.29,08.30,D-20,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405130007,https://www.contestkorea.com/admincenter/files/meet/202405131127001014619.png
2024 MATLAB 대학생 AI 경진대회,"['과학', '공학', '기술']",매스웍스코리아,"['대학생', '대학원생']",04.25,06.20,06.20,07.01,09.25,D-33,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405020096,https://www.contestkorea.com/admincenter/files/meet/202405021540474908592.png
"세상을 구하는 AI 해커톤, 2024 항해커톤 개최","['IT', '소프트웨어', '게임']",팀스파르타,"['대학생', '대학원생', '일반인', '외국인']",04.19,05.19,05.31,06.01,05.24,D-1,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404260016,https://www.contestkorea.com/admincenter/files/meet/202404261048595703023.png
2024년 국방 공공데이터 활용 경진대회,"['IT', '소프트웨어', '게임']",국방부·병무청·방위사업청,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.22,06.10,06.21,07.05,07.12,D-23,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404250008,https://www.contestkorea.com/admincenter/files/meet/202404251048394856046.png
2024 세상에 없는 '게임책' 공모전,"['IT', '소프트웨어', '게임']","길벗 캠퍼스, 글로벌게임연구회","['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.19,08.31,09.01,09.30,10.01,D-105,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404190074,https://www.contestkorea.com/admincenter/files/meet/202404191430498746630.png
제14회 e-ICON 세계대회,"['IT', '소프트웨어', '게임']",교육부,"['중학생', '고등학생']",04.09,06.03,06.05,08.08,08.08,D-16,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404120054,https://www.contestkorea.com/admincenter/files/meet/202404181318280745461.jpg
2024년 제3회 영천시 공공데이터 활용 경진대회,"['IT', '소프트웨어', '게임']",영천시,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.15,06.14,06.26,07.10,07.10,D-27,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404110060,https://www.contestkorea.com/admincenter/files/meet/202404171753247447902.jpg
제10회 인천광역시 공공데이터 활용 경진대회,"['IT', '소프트웨어', '게임']","인천광역시, 인하대학교, 인천대학교, 인천도시공사, 인천관광공사, 인천환경공단, 인천국제공항공사,  인천항만공사, (재)인천창조경제혁신센터","['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.08,05.31,06.03,07.05,07.05,D-13,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404110050,https://www.contestkorea.com/admincenter/files/meet/202404171726360541973.png
제3회 ETRI 휴먼이해 인공지능 논문경진대회,"['IT', '소프트웨어', '게임']",ETRI,"['대학생', '대학원생', '일반인']",04.18,06.07,06.28,09.10,10.16,D-20,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404160052,https://www.contestkorea.com/admincenter/files/meet/202404161500592657292.jpg
아이누리 자연스럽게 먹자! 공모전  (교육프로그램 개발),"['아이디어', '제안']","CJ프레시웨이,한국어린이집총연합회",['기타'],04.15,07.01,07.02,08.05,08.06,D-44,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404150070,https://www.contestkorea.com/admincenter/files/meet/202404151536124705152.jpg
2024년도 환경데이터 활용 및 분석 공모전,"['아이디어', '제안']",환경부,"['누구나', '유치원', '초등학생', '중학생', '고등학생', '대학생', '대학원생', '일반인', '외국인']",04.22,06.03,06.05,07.18,07.18,D-16,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202404150083,https://www.contestkorea.com/admincenter/files/meet/202404151759333264831.jpg
"농식품 공공데이터, 창업경진대회 작품 공모","['아이디어', '제안']"," 농림축산식품부, 농촌진흥청","['대학생', '대학원생', '일반인', '외국인']",03.25,07.01,07.01,07.20,07.26,D-44,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403280067,https://www.contestkorea.com/admincenter/files/meet/202403281441082362781.jpg
