title,host,hashtag,start_date,end_date,image,link
2024 국제인공지능대전,한국인공지능협회,"['온라인', '무료', 'AI\t']",2024.03.20,2024.05.13,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-03-25-23-12-0726-6be87c72.png&w=640&q=75,http://www.aiexpo.co.kr/home/
Flutter 개발자를 위한 앱 푸시 알림 실전 가이드: 개인화부터 실시간 메시지까지,노티플라이,"['온라인', '무료', '안드로이드', 'iOS']",2024.04.29,2024.05.13,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-29-22-50-1649-4953ac3a.png&w=640&q=75,https://event-us.kr/notifly/event/80892?utm_source=github_dev_event&utm_medium=banner&utm_campaign=event-recommend&pit_id=4342
Google I/O,Google,"['온라인', '무료', '기술일반']",2024.03.15,2024.05.13,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-03-16-10-28-4766-5a49b531.png&w=640&q=75,https://io.google/2024/intl/ko/
AWS Summit Seoul,AWS,"['오프라인', '무료', '클라우드']",2024.03.20,2024.05.13,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-03-25-23-12-5159-4aa66458.png&w=640&q=75,https://aws.amazon.com/ko/events/summits/seoul
[AI × 독서모임]인공지능 책 함께 읽어요!,ArtByte,"['온라인', '유료', 'AI\t']",2024.04.01,2024.05.13,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-37-4615-66f32d87.png&w=640&q=75,https://festa.io/events/5010
2024 지식재산 데이터 활용 창업 경진대회,특허청,"['온라인', '무료', '데이터']",2024.03.15,2024.05.14,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-11-23-34-0200-4053ad60.png&w=640&q=75,https://plus.kipris.or.kr/portal/main/contents.do?menuNo=210180
AI학교 아이펠 '데이터 사이언티스트 과정' 입학생 모집,아이펠,"['온라인', '무료', '데이터']",2024.04.16,2024.05.17,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-16-22-40-5432-b2cb9a33.png&w=640&q=75,https://ds.aiffel.io/?utm_source=festa&utm_medium=board_all&utm_campaign=kdt_23_10&utm_content=github_dev_event
백엔드 개발자 취업 미니 부트캠프 : 스프링 입문 데브코스,유데미 x 웅진씽크빅,"['온라인', '백엔드', '유료']",2024.04.23,2024.05.17,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-22-16-2994-c0d3017f.webp&w=640&q=75,https://onoffmix.com/event/298611
제19회 차세대 테크 리더십포럼,리더십 포럼,"['오프라인', '무료', '기술일반']",2024.04.23,2024.05.17,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-22-17-3437-8438c02c.webp&w=640&q=75,https://festa.io/events/5077
2024 배리어프리 앱 개발 콘테스트,"현대오토에버, 서울사회복지공동모금회","['온라인', '무료', '안드로이드', '대회', 'iOS']",2024.04.15,2024.05.19,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-16-22-37-0496-cc9e272d.png&w=640&q=75,https://www.autoeverapp.kr/
2024 항해커톤,항해99,"['온라인', '무료', 'AI\t', '대회']",2024.04.22,2024.05.19,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-21-53-4239-90a86455.webp&w=640&q=75,https://hanghae99.spartacodingclub.kr/hhackathon-ai
Microsoft Build,Microsoft,"['온라인', '무료', '기술일반']",2024.03.15,2024.05.20,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-03-26-08-09-2258-0dc44a55.png&w=640&q=75,https://build.microsoft.com
작은 서비스 조금씩 개선하기(개발 관점),한빛앤 MSA,"['온라인', '무료', '기술일반', '커리어']",2024.04.30,2024.05.21,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-30-23-29-2226-4d4293d4.png&w=640&q=75,https://festa.io/events/5164
리눅스 기술면접 준비하는 방법,리얼리눅스,"['온라인', '무료', '기술일반', '커리어']",2024.04.29,2024.05.21,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-29-22-52-3335-bcc9a73c.png&w=640&q=75,https://festa.io/events/5175
게임 개발자 취업 성공 포트폴리오 패키지,유데미,"['온라인', '무료', '교육']",2024.04.15,2024.05.24,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-30-23-31-1628-d9914c45.png&w=640&q=75,https://udemy.wjtb.co.kr/event/id/250
대구광역시 공공데이터 활용 창업경진대회 2024,대구광역시,"['온라인', '무료', '대회']",2024.04.15,2024.05.24,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-25-22-25-1407-08a2405f.webp&w=640&q=75,https://dacon.io/competitions/official/236256/overview/description
Women Techmakers Korea 2024,Women Techmakers Korea,"['오프라인', '유료']",2024.03.26,2024.05.26,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-30-1716-89e7bf8d.png&w=640&q=75,https://festa.io/events/4967
.HACK 2024,.HACK,"['오프라인', '무료', '보안', '기술일반']",2024.05.27,2024.05.28,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-30-23-32-5542-61129b23.png&w=640&q=75,https://dothack.io/
제3회 ETRI 휴먼이해 인공지능 논문경진대회,한국전자통신연구원,"['온라인', '무료', 'AI\t']",2024.04.18,2024.06.07,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-21-57-3847-ed344aba.webp&w=640&q=75,https://aifactory.space/task/2790/overview
Google Cloud Summit Seoul ’24,구글 클라우드,"['온라인', '무료', '클라우드']",2024.04.22,2024.06.27,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-21-59-4027-db2404a0.webp&w=640&q=75,https://cloudonair.withgoogle.com/events/summit-seoul-2024
Regional Scrum Gathering Seoul 2024,Scrum Korea,"['오프라인', '무료', '기술일반']",2024.03.20,2024.07.04,https://dev-event.vercel.app/_next/image?url=%2Fdefault%2Fevent_img.png&w=640&q=75,https://scrum-korea.com/rsgseoul24
인프콘 2024,인프런,"['오프라인', '무료', '기술일반']",2024.08.02,00:00,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-48-1157-6dcb0266.png&w=640&q=75,https://www.inflearn.com/infcon-2024/teaser
KWDC24,APPLE,"['오프라인', '유료', '기술일반']",2024.10.25,00:00,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-11-23-36-2400-15d86c8f.png&w=640&q=75,https://kwdc.dev/2024/
제 8회 개방형 클라우드 플랫폼(K-PaaS) 기반 서비스 개발 아이디어 공모전,K-PaaS,"['온라인', '무료', '클라우드']",2024.04.01,2024.10.31,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-38-4473-3edc6a02.png&w=640&q=75,https://contest.k-paas.org/
GopherCon Korea 2024,Golang Korea,"['오프라인', '유료', '기술일반']",2024.04.01,2024.10.31,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-16-22-38-0170-4d7db9a4.png&w=640&q=75,https://festa.io/events/5098
