title,host,hashtag,start_date,end_date,image,link
AWSKRUG #Beginner 모임,AWSKRUG,"['온라인', '무료', '클라우드']",2024.05.22,2024.06.05,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-23-21-21-2436-cf331f8f.png&w=640&q=75,https://www.meetup.com/awskrug/events/301170960
2024 마이크로소프트 빌드 애프터 파티,Global AI Bootcamp organizers,"['오프라인', '무료', 'AI\t']",2024.05.20,2024.06.07,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-21-22-23-1108-96451611.png&w=640&q=75,https://festa.io/events/5273
제3회 ETRI 휴먼이해 인공지능 논문경진대회,한국전자통신연구원,"['온라인', '무료', 'AI\t']",2024.04.18,2024.06.07,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-21-57-3847-ed344aba.webp&w=640&q=75,https://aifactory.space/task/2790/overview
2024 메타버스 개발자 경진대회,과학기술정보통신부,"['온라인', '무료', '기술일반', '대회']",2024.05.07,2024.06.07,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-08-04-23-1904-91dfb5ef.png&w=640&q=75,https://www.metaversedev.kr/registration
DroidKnights 2024,DroidKnights Community,"['오프라인', '유료', '안드로이드']",2024.05.07,2024.06.10,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-08-04-28-2714-14c10329.png&w=640&q=75,https://festa.io/events/4990
[AI × 독서모임]인공지능 책 함께 읽어요!,ArtByte,"['오프라인', '유료', 'AI\t']",2024.05.07,2024.06.12,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-08-04-30-4784-372464b4.png&w=640&q=75,https://festa.io/events/5010
한빛앤 MSA #2-7 ‘서비스 장애’ 잘 이해하고 대비하기,한빛앤 MSA,"['오프라인', '무료', '벡엔드']",2024.05.21,2024.06.20,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-21-22-26-3259-d23733dd.png&w=640&q=75,https://festa.io/events/5260
파이콘 한국 2024 CFP 발표자 2차 모집,파이콘 한국 준비위원회,"['오프라인', '유료', 'Python']",2024.06.01,2024.06.22,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-02-23-50-3738-5012e4b7.png&w=640&q=75,https://docs.google.com/forms/d/e/1FAIpQLSdXXxakv9IZa_Se9DQzG3Kf8qc_ADIlyyTS5h7r20ENSfD6MA/viewform
AI 오디세이,해커그라운드,"['온라인', '무료', 'AI\t']",2024.05.13,2024.06.25,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-13-23-28-1464-71db05d6.jpeg&w=640&q=75,https://festa.io/events/5244
Google Cloud Summit Seoul ’24,구글 클라우드,"['온라인', '무료', '클라우드']",2024.04.22,2024.06.27,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-24-21-59-4027-db2404a0.webp&w=640&q=75,https://cloudonair.withgoogle.com/events/summit-seoul-2024
Regional Scrum Gathering Seoul 2024,Scrum Korea,"['오프라인', '무료', '기술일반']",2024.03.20,2024.07.04,https://dev-event.vercel.app/_next/image?url=%2Fdefault%2Fevent_img.png&w=640&q=75,https://scrum-korea.com/rsgseoul24
인프콘 2024,인프런,"['오프라인', '무료', '기술일반']",2024.08.02,00:00,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-48-1157-6dcb0266.png&w=640&q=75,https://www.inflearn.com/infcon-2024/teaser
DebConf24,데비안 프로젝트,"['오프라인', '무료', '기술일반']",2024.07.28,2024.08.04,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-10-05-50-4707-7826541c.jpg&w=640&q=75,https://debconf24.debconf.org/
UbuCon Korea 2024,우분투 한국커뮤니티,"['오프라인', '무료', '기술일반']",2024.04.17,2024.08.09,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-08-04-36-1213-b3b467e4.png&w=640&q=75,https://2024.ubuntu-kr.org/ko/
Gemini API 개발자 대회,구글,"['온라인', '무료', 'AI\t']",2024.05.17,2024.08.12,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-18-22-17-1681-60c7ce04.png&w=640&q=75,https://ai.google.dev/competition?hl=ko
Gemini API 개발자 대회,구글,"['온라인', '무료', 'AI\t']",2024.05.17,2024.08.12,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-18-22-17-1274-2361995e.png&w=640&q=75,https://ai.google.dev/competition?hl=ko
FEConf 2024,FEConf,"['오프라인', '유료', '프론트엔드\t']",2024.08.24,00:00,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-24-22-11-3412-719ab4c0.png&w=640&q=75,https://2024.feconf.kr/
KWDC24,APPLE,"['오프라인', '유료', '기술일반']",2024.10.25,00:00,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-11-23-36-2400-15d86c8f.png&w=640&q=75,https://kwdc.dev/2024/
제 8회 개방형 클라우드 플랫폼(K-PaaS) 기반 서비스 개발 아이디어 공모전,K-PaaS,"['온라인', '무료', '클라우드']",2024.04.01,2024.10.31,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-38-4473-3edc6a02.png&w=640&q=75,https://contest.k-paas.org/
GopherCon Korea 2024,Golang Korea,"['오프라인', '유료', '기술일반']",2024.04.01,2024.10.31,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-16-22-38-0170-4d7db9a4.png&w=640&q=75,https://festa.io/events/5098
