title,host,hashtag,start_date,end_date,image,link
Women Techmakers Korea 2024,Women Techmakers Korea,"['오프라인', '유료']",2024.03.26,2024.05.26,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-05-22-30-1716-89e7bf8d.png&w=640&q=75,https://festa.io/events/4967
멋쟁이사자처럼 : 유니티 게임 스쿨 1기 모집,멋쟁이사자처럼,"['온라인', '무료', '교육']",2024.05.09,2024.05.27,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-11-05-29-4028-fd440efd.png&w=640&q=75,https://www.wanted.co.kr/events/techit-kdt-ugm-1st
멋쟁이사자처럼 : 유니티 게임 스쿨 1기 모집,모두의연구소,"['온라인', '무료', 'AI\t']",2024.05.21,2024.05.27,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-21-22-24-0150-f071e0a7.png&w=640&q=75,https://www.wanted.co.kr/events/techit-kdt-ugm-1st
코드잇 스프린트 Career talk | SW 엔지니어,코드잇 스프린트,"['온라인', '무료', 'AI\t']",2024.05.21,2024.05.27,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-21-22-24-4868-4296044c.png&w=640&q=75,https://festa.io/events/5266
Cloudwave 3기 모집,CJ올리브네트웍스,"['오프라인', '무료', '교육', '인프라']",2024.05.27,2024.05.28,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-08-04-17-0906-873c6b03.png&w=640&q=75,https://dt.korchamhrd.net/bbs/bbsDetail.do?bbs_id=2268&rootMenuId=5065&menuId=5076&currentPage=1&customer_page_list=10&list_type=1&bbs_sno=214031
AWSKRUG 플랫폼엔지니어링x무신사,AWSKRUG,"['오프라인', '무료', '인프라']",2024.05.23,2024.05.28,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-23-21-22-2413-fa8fea55.png&w=640&q=75,https://www.meetup.com/awskrug/events/301083060/)
.HACK 2024,.HACK,"['오프라인', '무료', '보안', '기술일반']",2024.05.27,2024.05.28,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-04-30-23-32-5542-61129b23.png&w=640&q=75,https://dothack.io/
AWSKRUG 프론트엔드 소모임,AWSKRUG,"['오프라인', '유료', '프론트엔드\t']",2024.05.20,2024.05.29,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-21-22-18-3575-724bd8c3.png&w=640&q=75,https://www.meetup.com/awskrug/events/301011378/
AWSKRUG 플랫폼엔지니어링 모임,AWSKRUG,"['오프라인', '유료']",2024.05.20,2024.05.29,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-21-22-19-3062-23f98290.png&w=640&q=75,https://www.meetup.com/awskrug/events/301083060
데브콘 서울 : 오월엔 AI,K-DEVCON,"['오프라인', '유료', 'AI\t']",2024.05.20,2024.05.30,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-21-22-20-5171-facc9520.png&w=640&q=75,https://festa.io/events/5272
데이터 야놀자 2024,K-DEVCON,"['오프라인', '유료', '데이터']",2024.05.20,2024.05.30,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-21-22-21-5016-fe82ca87.png&w=640&q=75,https://datayanolja.kr
한빛앤 MSA #2-6 기술과 건강을 잇다: 헬스케어 IT 개발자 가이드,한빛앤 MSA,"['오프라인', '무료', '기술일반']",2024.05.16,2024.05.30,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-16-22-04-3544-39a4a78d.png&w=640&q=75,https://festa.io/events/5169
IT 커뮤니티/동아리 운영진 밋업,고용노동부,"['오프라인', '무료', '기술일반']",2024.05.24,2024.05.30,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-24-22-09-5108-9e55fb0c.png&w=640&q=75,https://forms.office.com/pages/responsepage.aspx?id=9PG2W0gLlkSbr_n7faXTUq5R3d7-6tpAgg5e5thiS5hUNFJMODFRS1Q5U1BXSk5QOVBEMUVINjRFVC4u
안정적인 서비스를 위한 예외처리와 테스트 전략 | 프리온보딩 BE 챌린지 6월,원티드,"['온라인', '무료', '교육', '백엔드']",2024.05.14,2024.05.30,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-15-16-24-4481-f22b7f40.jpg&w=640&q=75,https://www.wanted.co.kr/events/pre_challenge_be_20
React Hook과 SPA 실전개발 with Next.js | 프리온보딩 FE 챌린지 6월,원티드,"['온라인', '무료', '교육', '프론트엔드\t']",2024.05.14,2024.05.30,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-15-16-25-4270-3703fd75.jpg&w=640&q=75,https://www.wanted.co.kr/events/pre_challenge_fe_22
실무사례로 보는 정보보안 개념 및 기술 | 프리온보딩 정보보안 챌린지 6월,원티드,"['온라인', '무료', '교육', '보안']",2024.05.14,2024.05.30,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-15-16-23-4388-f7145421.jpg&w=640&q=75,https://www.wanted.co.kr/events/pre_challenge_infosec_2
7th Code for Busan,부산광역시,"['오프라인', '무료', '기술일반']",2024.05.20,2024.05.30,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-21-22-25-4307-084ef47e.png&w=640&q=75,https://www.dxchallenge.co.kr/events/7th-code-for-busan
"개발자, 한 달에 책 한 권 읽기 2024년 5월~2024년 7월 모임",코딩의 신,"['오프라인', '유료', '기술일반']",2024.05.22,2024.05.30,https://dev-event.vercel.app/_next/image?url=%2Fdefault%2Fevent_img.png&w=640&q=75,https://festa.io/events/5290
FEConf 2024 연사 신청,FEConf,"['오프라인', '유료', '프론트엔드\t']",2024.05.24,2024.05.31,https://dev-event.vercel.app/_next/image?url=%2Fdefault%2Fevent_img.png&w=640&q=75,https://docs.google.com/forms/d/e/1FAIpQLSdcp-7HKQnHIg64QQ--dwe07djNzSgTOwvnth7JFLGzhoFc0A/viewform
6월 우아한테크세미나 | 글로벌 개발자로 성장하는 법,우아한형제들,"['온라인', '무료', '기술일반']",2024.05.22,2024.06.03,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-23-21-20-3612-becdf67f.png&w=640&q=75,https://docs.google.com/forms/d/e/1FAIpQLSccwdF4OS81v1-q6d7MmRXVubMfarUtGuYOMalyZg2Gdc6Erg/viewform
코드잇 스프린트,코드잇 스프린트,"['오프라인', '무료', '기술일반']",2024.05.10,2024.06.05,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-18-22-13-4648-1183af9c.png&w=640&q=75,https://festa.io/events/5266
Kakao Tech Meet #6,카카오,"['오프라인', '무료', '기술일반']",2024.05.10,2024.06.05,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-18-22-14-3856-e9a01380.png&w=640&q=75,https://festa.io/events/5243
Tech 우수인재 양성을 위한 MLOps / Full stack 과정,한국경제신문 with toss bank,"['오프라인', '무료', 'AI\t', '교육']",2024.05.10,2024.06.05,https://dev-event.vercel.app/_next/image?url=https%3A%2F%2Fbrave-people-3.s3.ap-northeast-2.amazonaws.com%2FDEVEVENT%2F2024-05-11-05-45-0924-c8c98b88.png&w=640&q=75,https://festa.io/events/5229
