제목,카테고리,주최,대상,접수 시작일,접수 마감일,심사 시작일,심사 종료일,발표일,D-Day,상태,링크,이미지 링크
16회 코드게이트 글로벌 AI아이디어랩 공모전,"['IT', '소프트웨어', '게임']","사단법인코드게이트보안포럼, 금융보안원","['중학생', '고등학생', '대학생', '대학원생', '일반인']",04.29,06.30,06.30,08.29,08.30,D-8,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405130007,https://www.contestkorea.com/admincenter/files/meet/202406181606262297783.png
2024 신구대학교 전국 중·고교생 게임 공모전,"['IT', '소프트웨어', '게임']",신구대학교 VR게임콘텐츠과,"['중학생', '고등학생']",06.03,08.14,08.15,08.21,08.21,D-53,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202405100055,https://www.contestkorea.com/admincenter/files/meet/202405101536578338593.jpg
제2회 전북청년 빅데이터 경진대회,"['IT', '소프트웨어', '게임']",전북대학교 빅데이터혁신융합대학사업단,"['중학생', '고등학생', '대학생', '대학원생', '기타']",06.17,08.30,09.02,10.31,10.31,D-69,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406170037,https://www.contestkorea.com/admincenter/files/meet/202406211430381803469.jpg
2024 블록체인 경진대회 「BEST Challenge」,"['IT', '소프트웨어', '게임']",과학기술정보통신부,"['대학생', '대학원생', '일반인']",06.14,07.23,07.25,07.26,07.31,D-31,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406180091,https://www.contestkorea.com/admincenter/files/meet/202406181542391448960.jpg
2024 청소년 하계 IT학술대회,"['IT', '소프트웨어', '게임']",한국정보기술진흥원,"['초등학생', '중학생', '고등학생']",06.17,08.04,06.17,08.11,08.12,D-43,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406170048,https://www.contestkorea.com/admincenter/files/meet/202406171231454463023.png
24년 현대모비스 알고리즘 경진대회,"['IT', '소프트웨어', '게임']",현대모비스,"['대학생', '대학원생', '일반인']",05.29,06.25,06.26,07.05,07.05,D-3,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406140021,https://www.contestkorea.com/admincenter/files/meet/202406151508487030104.jpg
제 8회 2024 미래에셋증권 AI·Data 페스티벌,"['IT', '소프트웨어', '게임']",미래에셋증권,"['대학생', '대학원생']",06.17,06.28,07.01,10.31,10.31,D-6,마감임박,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406120092,https://www.contestkorea.com/admincenter/files/meet/202406151446282991042.jpg
제4회 미래와소프트웨어 아이디어 공모전,"['IT', '소프트웨어', '게임']",미래와소프트웨어,"['대학생', '대학원생']",06.10,08.11,08.12,08.29,08.30,D-50,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406100070,https://www.contestkorea.com/admincenter/files/meet/202406141613549334939.jpg
제 4회 KOPIS 빅데이터 공모전,"['IT', '소프트웨어', '게임']",문화체육관광부,"['대학생', '대학원생', '일반인']",06.10,07.11,07.12,11.29,11.29,D-19,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202406090009,https://www.contestkorea.com/admincenter/files/meet/202406141421511650494.jpg
제8회 개방형 클라우드 플랫폼(K-PaaS) 기반 서비스 개발 아이디어 공모전,"['아이디어', '제안']",과학기술정보통신부,"['고등학생', '대학생', '일반인']",03.25,10.31,11.05,11.06,11.20,D-131,접수중,https://www.contestkorea.com/sub/view.php?int_gbn=1&Txt_bcode=030510001&str_no=202403260057,https://www.contestkorea.com/admincenter/files/meet/202404011524051101946.jpg
